symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-02-11 00:00:00+00:00,93.7,94.72,92.59,93.79,50074711,87.4173695039,88.3689780087,86.3817955429,87.5013349603,50074711,0.0,1.0
AAPL,2016-02-12 00:00:00+00:00,93.99,94.5,93.01,94.19,40351381,87.6879248631,88.1637291155,86.773634339,87.874514766,40351381,0.0,1.0
AAPL,2016-02-16 00:00:00+00:00,96.64,96.85,94.61,95.02,49057916,90.1602410764,90.3561604745,88.2663535621,88.648862863,49057916,0.0,1.0
AAPL,2016-02-17 00:00:00+00:00,98.12,98.21,96.15,96.67,44863243,91.5410063578,91.6249718141,89.7030958144,90.1882295619,44863243,0.0,1.0
AAPL,2016-02-18 00:00:00+00:00,96.26,98.89,96.091,98.84,39020983,89.8057202609,92.2593774839,89.648051793,92.2127300082,39020983,0.0,1.0
AAPL,2016-02-19 00:00:00+00:00,96.04,96.7599,95.8,96.0,35374173,89.6004713678,90.2721017232,89.3765634843,89.5631533872,35374173,0.0,1.0
AAPL,2016-02-22 00:00:00+00:00,96.88,96.9,95.92,96.31,34280758,90.3841489599,90.4028079502,89.488517426,89.8523677367,34280758,0.0,1.0
AAPL,2016-02-23 00:00:00+00:00,94.69,96.5,94.55,96.4,31942633,88.3409895233,90.0296281444,88.2103765912,89.936333193,31942633,0.0,1.0
AAPL,2016-02-24 00:00:00+00:00,96.1,96.38,93.32,93.98,36255745,89.6564483386,89.9176742027,87.0628486885,87.678595368,36255745,0.0,1.0
AAPL,2016-02-25 00:00:00+00:00,96.76,96.76,95.25,96.05,27582659,90.2721950182,90.2721950182,88.8634412513,89.6098008629,27582659,0.0,1.0
AAPL,2016-02-26 00:00:00+00:00,96.91,98.0237,96.58,97.2,28991131,90.4121374453,91.4511633196,90.1042641056,90.6826928045,28991131,0.0,1.0
AAPL,2016-02-29 00:00:00+00:00,96.69,98.23,96.65,96.86,35216277,90.2068885522,91.6436308044,90.1695705716,90.3654899696,35216277,0.0,1.0
AAPL,2016-03-01 00:00:00+00:00,100.53,100.77,97.42,97.65,50407147,93.7894146876,94.0133225711,90.8879416977,91.102520086,50407147,0.0,1.0
AAPL,2016-03-02 00:00:00+00:00,100.75,100.89,99.64,100.51,33169560,93.9946635808,94.1252765128,92.9590896198,93.7707556974,33169560,0.0,1.0
AAPL,2016-03-03 00:00:00+00:00,101.5,101.7099,100.45,100.58,36955742,94.6943757167,94.8902018197,93.7147787265,93.8360621634,36955742,0.0,1.0
AAPL,2016-03-04 00:00:00+00:00,103.01,103.75,101.37,102.37,46055100,96.1031294835,96.7935121242,94.5730922798,95.5060417942,46055100,0.0,1.0
AAPL,2016-03-07 00:00:00+00:00,101.87,102.83,100.96,102.39,35915810,95.039567037,95.9351985709,94.1905829789,95.5247007845,35915810,0.0,1.0
AAPL,2016-03-08 00:00:00+00:00,101.03,101.76,100.4,100.78,31182194,94.2558894449,94.9369425904,93.6681312508,94.0226520663,31182194,0.0,1.0
AAPL,2016-03-09 00:00:00+00:00,101.12,101.58,100.27,101.31,27201683,94.3398549012,94.7690116778,93.5468478139,94.5171153089,27201683,0.0,1.0
AAPL,2016-03-10 00:00:00+00:00,101.17,102.24,100.15,101.41,33513577,94.3865023769,95.3847583574,93.4348938722,94.6104102604,33513577,0.0,1.0
AAPL,2016-03-11 00:00:00+00:00,102.26,102.28,101.5,102.24,27408237,95.4034173476,95.4220763379,94.6943757167,95.3847583574,27408237,0.0,1.0
AAPL,2016-03-14 00:00:00+00:00,102.52,102.91,101.78,101.91,25076062,95.6459842214,96.009834532,94.9556015807,95.0768850176,25076062,0.0,1.0
AAPL,2016-03-15 00:00:00+00:00,104.58,105.18,103.85,103.96,40067734,97.5678602212,98.1276299298,96.8868070756,96.9894315222,40067734,0.0,1.0
AAPL,2016-03-16 00:00:00+00:00,105.97,106.31,104.59,104.61,38303493,98.8646600462,99.1818628812,97.5771897163,97.5958487066,38303493,0.0,1.0
AAPL,2016-03-17 00:00:00+00:00,105.8,106.47,104.96,105.52,34420705,98.7060586288,99.3311348035,97.9223810367,98.4448327647,34420705,0.0,1.0
AAPL,2016-03-18 00:00:00+00:00,105.92,106.5,105.19,106.34,44205171,98.8180125705,99.3591232889,98.136959425,99.2098513666,44205171,0.0,1.0
AAPL,2016-03-21 00:00:00+00:00,105.91,107.65,105.1401,105.93,35502678,98.8086830754,100.4320152305,98.0904052442,98.8273420657,35502678,0.0,1.0
AAPL,2016-03-22 00:00:00+00:00,106.72,107.29,105.21,105.25,32444375,99.5643721821,100.0961534053,98.1556184153,98.1929363958,32444375,0.0,1.0
AAPL,2016-03-23 00:00:00+00:00,106.13,107.07,105.9,106.48,25703495,99.0139319686,99.8909045121,98.7993535802,99.3404642986,25703495,0.0,1.0
AAPL,2016-03-24 00:00:00+00:00,105.67,106.25,104.89,105.47,26132955,98.5847751919,99.1258859103,97.8570745706,98.398185289,26132955,0.0,1.0
AAPL,2016-03-28 00:00:00+00:00,105.19,106.19,105.06,106.0,19411372,98.136959425,99.0699089394,98.0156759881,98.8926485317,19411372,0.0,1.0
AAPL,2016-03-29 00:00:00+00:00,107.68,107.79,104.88,104.89,31190083,100.460003716,100.5626281625,97.8477450755,97.8570745706,31190083,0.0,1.0
AAPL,2016-03-30 00:00:00+00:00,109.56,110.42,108.6,108.65,45601149,102.2139488031,103.0162853856,101.3183172693,101.364964745,45601149,0.0,1.0
AAPL,2016-03-31 00:00:00+00:00,108.99,109.9,108.88,109.72,25888449,101.6821675799,102.531151638,101.5795431333,102.3632207254,25888449,0.0,1.0
AAPL,2016-04-01 00:00:00+00:00,109.99,110.0,108.2,108.78,25873950,102.6151170943,102.6244465895,100.9451374635,101.4862481819,25873950,0.0,1.0
AAPL,2016-04-04 00:00:00+00:00,111.12,112.19,110.27,110.42,37356204,103.6693500457,104.6676060261,102.8763429584,103.0162853856,37356204,0.0,1.0
AAPL,2016-04-05 00:00:00+00:00,109.81,110.73,109.42,109.51,26578652,102.4471861817,103.305499735,102.0833358711,102.1673013274,26578652,0.0,1.0
AAPL,2016-04-06 00:00:00+00:00,110.96,110.98,109.2,110.23,26404077,103.5200781234,103.5387371136,101.8780869779,102.8390249778,26404077,0.0,1.0
AAPL,2016-04-07 00:00:00+00:00,108.54,110.42,108.121,109.95,31801870,101.2623402984,103.0162853856,100.8714344518,102.5777991138,31801870,0.0,1.0
AAPL,2016-04-08 00:00:00+00:00,108.66,109.77,108.17,108.91,23581740,101.3742942401,102.4098682012,100.917148978,101.6075316187,23581740,0.0,1.0
AAPL,2016-04-11 00:00:00+00:00,109.02,110.61,108.83,108.97,29407518,101.7101560653,103.1935457933,101.5328956576,101.6635085896,29407518,0.0,1.0
AAPL,2016-04-12 00:00:00+00:00,110.44,110.5,108.66,109.34,27232325,103.0349443758,103.0909213467,101.3742942401,102.0086999099,27232325,0.0,1.0
AAPL,2016-04-13 00:00:00+00:00,112.04,112.34,110.8,110.8,33257316,104.527663599,104.8075484533,103.370806201,103.370806201,33257316,0.0,1.0
